RapNet Seller #,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence,Measurements,Lab,Cert #,RapNet Total Price,Depth %,Table %,RapNet Lot #
79218,Round,2.000,L,VS2,Good,Good,Good,None ,8.00-8.05x4.90,GIA,2136080633,9380.0000,61.0,64.00,37112065
51637,Round,2.000,M,SI2,Excellent,Excellent,Excellent,Strong ,8.04-8.06x5.04,GIA,5136098106,6164.0000,62.6,56.00,37306759
51637,Round,2.000,G,SI2,Good,Excellent,Very Good,None ,7.80-7.85x5.09,GIA,5136023753,14472.0000,65.0,56.00,37327210
51637,Round,2.000,D,VS1,Very Good,Excellent,Very Good,Medium ,7.87-7.91x5.09,GIA,2136160228,42600.0000,64.4,54.00,37587606
51637,Round,2.000,K,SI1,Excellent,Excellent,Very Good,Strong ,8.02-8.06x4.99,GIA,2136184199,11360.0000,62.0,57.00,37674083
51637,Round,2.000,H,SI2,Excellent,Excellent,Excellent,None ,8.05-8.09x5.01,GIA,5136036053,15862.0000,62.1,56.00,37500002
51637,Round,2.000,K,SI2,Very Good,Excellent,Excellent,Faint ,8.27-8.29x4.84,GIA,1146546113,10336.0000,58.5,61.00,37674084
51637,Round,2.000,F,VS1,Very Good,Excellent,Excellent,None ,7.96-8.02x5.02,GIA,1139023831,34200.0000,62.8,57.00,37708287
51637,Round,2.000,F,SI2,Very Good,Excellent,Good,None ,8.08-8.10x4.96,GIA,2141632587,16950.0000,61.3,57.00,37856543
51637,Round,2.000,J,SI2,Excellent,Excellent,Excellent,None ,7.97-8.01x5.04,GIA,2136041281,11544.0000,63.0,56.00,37435671
51637,Round,2.000,E,SI2,Very Good,Excellent,Very Good,None ,8.02-8.06x5.02,GIA,5136163683,17464.0000,62.5,56.00,37563298
51637,Round,2.000,I,SI2,Very Good,Excellent,Excellent,None ,7.90-7.94x5.07,GIA,2136212260,13764.0000,64.0,58.00,37810375
51637,Round,2.000,H,SI2,Excellent,Excellent,Very Good,None ,8.01-8.05x5.04,IGI,S3C80309,13802.0000,62.8,54.50,37701323
51637,Round,2.000,D,SI2,Excellent,Excellent,Excellent,Faint ,8.27-8.29x4.85,GIA,2136023757,22140.0000,58.5,61.00,37828925
51637,Round,2.000,G,SI2,Excellent,Excellent,Excellent,None ,8.07-8.10x4.99,GIA,1139148804,17712.0000,61.6,58.00,37674081
51637,Round,2.000,J,VVS2,Excellent,Excellent,Very Good,None ,8.03-8.08x5.02,GIA,1138099719,18860.0000,62.4,56.00,37674082
51637,Round,2.000,G,SI2,Excellent,Excellent,Excellent,Faint ,8.20-8.24x4.88,GIA,1139151041,17712.0000,59.4,61.00,37810374
51637,Round,2.000,G,SI1,Excellent,Excellent,Excellent,None ,8.16-8.20x4.93,GIA,2136148722,22620.0000,60.2,59.00,37856544
51637,Round,2.000,H,SI1,Excellent,Excellent,Excellent,None ,8.05-8.09x4.95,GIA,2136041236,20400.0000,61.3,59.00,37708288
51637,Round,2.000,G,VS2,Excellent,Excellent,Very Good,None ,8.16-8.21x4.92,GIA,1139024213,27048.0000,60.1,59.00,37829516
