RapNet Seller #,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence,Measurements,Lab,Cert #,RapNet Total Price,Depth %,Table %,RapNet Lot #
75836,Round,1.300,I,VS1,Excellent,Excellent,Excellent,Strong ,6.90-6.93x4.33,IGI,S3C78077,6553.3000,62.6,57.00,40219294
77636,Round,1.300,K,VS2,Excellent,Very Good,Excellent,Medium Blue,6.96-6.99x4.36,GIA,6137966454,4433.0000,62.4,56.00,36565889
77636,Round,1.300,J,VS1,Excellent,Excellent,Excellent,Faint ,7.02-7.06x4.29,GIA,5126075656,6591.0000,60.9,58.00,32137817
28426,Round,1.300,E,IF,Excellent,Excellent,Excellent,Medium ,7.07-7.14x4.23,GIA,2126321878,18291.0000,59.5,61.00,36203346
68734,Round,1.300,F,IF,Excellent,Excellent,Very Good,None ,7.02-7.08x4.31,GIA,6127998508,17417.4000,61.1,59.00,30517612
68734,Round,1.300,I,VVS1,Excellent,Excellent,Excellent,None ,7.01-7.04x4.31,GIA,1126874068,9838.4000,61.4,57.00,35663684
68734,Round,1.300,I,VVS1,Excellent,Excellent,Excellent,None ,7.05-7.09x4.28,GIA,6147769641,9838.4000,60.5,58.00,39744277
75370,Round,1.300,H,VS2,Excellent,Excellent,Excellent,None ,6.84-6.88x4.34,IGI,S3C99696,7888.4000,63.2,59.50,40330451
44275,Round,1.300,J,VVS2,Excellent,Excellent,Excellent,None ,7.02-7.04x4.30,GIA,2136223883,6469.1640,61.2,59.00,40214538
44275,Round,1.300,K,VS1,Excellent,Very Good,Excellent,None ,7.00-7.02x4.34,GIA,6147718607,5051.0460,61.9,58.00,39349941
44275,Round,1.300,K,VVS2,Excellent,Excellent,Excellent,None ,6.99-7.01x4.35,GIA,1146903403,5586.3600,62.1,57.00,40267849
44275,Round,1.300,J,SI1,Excellent,Excellent,Excellent,None ,7.01-7.03x4.35,GIA,5136534547,4949.1000,61.9,56.00,40183446
