I2,E,0.18,0.22,560
I3,E,0.18,0.22,400
IF,F,0.18,0.22,1600
VVS1,F,0.18,0.22,1600
VVS2,F,0.18,0.22,1600
VS1,F,0.18,0.22,1360
VS2,F,0.18,0.22,1360
SI1,F,0.18,0.22,1150
SI2,F,0.18,0.22,1000
SI3,F,0.18,0.22,890
I1,F,0.18,0.22,670
I2,F,0.18,0.22,560
I3,F,0.18,0.22,400
IF,G,0.18,0.22,1450
VVS1,G,0.18,0.22,1450
VVS2,G,0.18,0.22,1450
VS1,G,0.18,0.22,1250
VS2,G,0.18,0.22,1250
SI1,G,0.18,0.22,1050
SI2,G,0.18,0.22,930
SI3,G,0.18,0.22,790
I1,G,0.18,0.22,600
I2,G,0.18,0.22,510
I3,G,0.18,0.22,350
IF,H,0.18,0.22,1450
VVS1,H,0.18,0.22,1450
VVS2,H,0.18,0.22,1450
VS1,H,0.18,0.22,1250
VS2,H,0.18,0.22,1250
SI1,H,0.18,0.22,1050
SI2,H,0.18,0.22,930
SI3,H,0.18,0.22,790
I1,H,0.18,0.22,600
I2,H,0.18,0.22,510
I3,H,0.18,0.22,350
IF,I,0.18,0.22,1200
VVS1,I,0.18,0.22,1200
VVS2,I,0.18,0.22,1200
VS1,I,0.18,0.22,1050
VS2,I,0.18,0.22,1050
SI1,I,0.18,0.22,900
SI2,I,0.18,0.22,800
SI3,I,0.18,0.22,680
I1,I,0.18,0.22,530
I2,I,0.18,0.22,430
I3,I,0.18,0.22,310
IF,J,0.18,0.22,1200
VVS1,J,0.18,0.22,1200
VVS2,J,0.18,0.22,1200
VS1,J,0.18,0.22,1050
VS2,J,0.18,0.22,1050
SI1,J,0.18,0.22,900
SI2,J,0.18,0.22,800
SI3,J,0.18,0.22,680
I1,J,0.18,0.22,530
I2,J,0.18,0.22,430
I3,J,0.18,0.22,310
IF,K,0.18,0.22,1000
VVS1,K,0.18,0.22,1000
VVS2,K,0.18,0.22,1000
VS1,K,0.18,0.22,820
VS2,K,0.18,0.22,820
SI1,K,0.18,0.22,740
SI2,K,0.18,0.22,630
SI3,K,0.18,0.22,560
I1,K,0.18,0.22,430
I2,K,0.18,0.22,330
I3,K,0.18,0.22,220
IF,L,0.18,0.22,1000
VVS1,L,0.18,0.22,1000
VVS2,L,0.18,0.22,1000
VS1,L,0.18,0.22,820
VS2,L,0.18,0.22,820
SI1,L,0.18,0.22,740
SI2,L,0.18,0.22,630
SI3,L,0.18,0.22,560
I1,L,0.18,0.22,430
I2,L,0.18,0.22,330
I3,L,0.18,0.22,220
IF,M,0.18,0.22,830
VVS1,M,0.18,0.22,830
VVS2,M,0.18,0.22,830
VS1,M,0.18,0.22,660
VS2,M,0.18,0.22,660
SI1,M,0.18,0.22,590
SI2,M,0.18,0.22,510
